position	wl	slice	min.elapsed	expTcorr_bs_intden	exptime.sec	bs.intden	mean_bg_intden	mean_intden	rb_radius	threshold	area_threshold	cellarea_percent	total_area
A01b	1.00	2.00	148.00	1159400.78	0.50	579700.39	604.54	604.94	50.00	MaxEntropy	50.00	0.42	1447680.00
A01b	1.00	3.00	296.00	2398410.24	0.50	1199205.12	602.98	603.81	50.00	MaxEntropy	50.00	0.70	1447680.00
A01b	1.00	4.00	445.00	5321132.83	0.50	2660566.42	600.64	602.48	50.00	MaxEntropy	50.00	1.31	1447680.00
A01b	1.00	5.00	593.00	13236467.97	0.50	6618233.98	598.21	602.78	50.00	MaxEntropy	50.00	2.72	1447680.00
A01b	1.00	6.00	742.00	32722061.28	0.50	16361030.64	595.59	606.89	50.00	MaxEntropy	50.00	5.43	1447680.00
A01b	1.00	7.00	890.00	74945745.04	0.50	37472872.52	596.28	622.16	50.00	MaxEntropy	50.00	10.12	1447680.00
A01b	1.00	8.00	1038.00	154902427.71	0.50	77451213.85	593.63	647.13	50.00	MaxEntropy	50.00	17.18	1447680.00
A01b	1.00	9.00	1187.00	300425740.92	0.50	150212870.46	588.89	692.65	50.00	MaxEntropy	50.00	28.38	1447680.00
A01b	1.00	10.00	1336.00	573250844.80	0.50	286625422.40	580.20	778.19	50.00	MaxEntropy	50.00	46.15	1447680.00
A01b	1.00	11.00	1485.00	1112508158.95	0.50	556254079.48	596.71	980.94	50.00	MaxEntropy	50.00	70.77	1447680.00
A01b	1.00	12.00	1633.00	1996997056.95	0.50	998498528.48	596.71	1286.43	50.00	MaxEntropy	50.00	88.13	1447680.00
A01b	1.00	13.00	1782.00	2759231822.95	0.50	1379615911.48	596.71	1549.69	50.00	MaxEntropy	50.00	95.32	1447680.00
A01b	1.00	14.00	1931.00	3459708058.95	0.50	1729854029.48	596.71	1791.62	50.00	MaxEntropy	50.00	98.87	1447680.00
A01b	1.00	15.00	2080.00	4083535540.95	0.50	2041767770.48	596.71	2007.08	50.00	MaxEntropy	50.00	99.84	1447680.00
A01b	1.00	16.00	2228.00	4621467798.95	0.50	2310733899.48	596.71	2192.87	50.00	MaxEntropy	50.00	99.98	1447680.00
A01c	1.00	1.00	0.00	300483.45	0.50	150241.72	487.04	487.14	50.00	MaxEntropy	50.00	0.39	1447680.00
A01c	1.00	2.00	148.00	655583.76	0.50	327791.88	486.93	487.16	50.00	MaxEntropy	50.00	0.59	1447680.00
A01c	1.00	3.00	297.00	1572782.53	0.50	786391.27	485.66	486.21	50.00	MaxEntropy	50.00	1.03	1447680.00
A01c	1.00	4.00	445.00	3738608.24	0.50	1869304.12	485.29	486.59	50.00	MaxEntropy	50.00	1.83	1447680.00
A01c	1.00	5.00	594.00	9646085.97	0.50	4823042.98	484.16	487.49	50.00	MaxEntropy	50.00	3.57	1447680.00
A01c	1.00	6.00	742.00	24984203.53	0.50	12492101.76	484.73	493.36	50.00	MaxEntropy	50.00	6.81	1447680.00
A01c	1.00	7.00	891.00	62251557.28	0.50	31125778.64	487.45	508.95	50.00	MaxEntropy	50.00	12.23	1447680.00
A01c	1.00	8.00	1039.00	135447263.55	0.50	67723631.78	488.71	535.49	50.00	MaxEntropy	50.00	21.61	1447680.00
A01c	1.00	9.00	1187.00	269548334.64	0.50	134774167.32	491.10	584.19	50.00	MaxEntropy	50.00	36.48	1447680.00
A01c	1.00	10.00	1336.00	545438335.66	0.50	272719167.83	486.78	675.17	50.00	MaxEntropy	50.00	67.91	1447680.00
A01c	1.00	11.00	1485.00	1163620087.66	0.50	581810043.83	486.78	888.68	50.00	MaxEntropy	50.00	99.96	1447680.00
A01c	1.00	12.00	1633.00	2076850007.66	0.50	1038425003.83	486.78	1204.09	50.00	MaxEntropy	50.00	100.00	1447680.00
A01c	1.00	13.00	1783.00	2800778175.66	0.50	1400389087.83	486.78	1454.12	50.00	MaxEntropy	50.00	100.00	1447680.00
A01c	1.00	14.00	1931.00	3466685855.66	0.50	1733342927.83	486.78	1684.11	50.00	MaxEntropy	50.00	100.00	1447680.00
A01c	1.00	15.00	2080.00	4072441341.66	0.50	2036220670.83	486.78	1893.33	50.00	MaxEntropy	50.00	100.00	1447680.00
A01c	1.00	16.00	2228.00	4586438381.66	0.50	2293219190.83	486.78	2070.85	50.00	MaxEntropy	50.00	100.00	1447680.00
A01d	1.00	1.00	0.00	595186.89	0.50	297593.45	581.45	581.66	50.00	MaxEntropy	50.00	0.26	1447680.00
A01d	1.00	2.00	148.00	825246.07	0.50	412623.03	582.63	582.91	50.00	MaxEntropy	50.00	0.40	1447680.00
A01d	1.00	3.00	296.00	1522022.16	0.50	761011.08	581.65	582.17	50.00	MaxEntropy	50.00	0.67	1447680.00
A01d	1.00	4.00	444.00	2901735.65	0.50	1450867.82	580.82	581.82	50.00	MaxEntropy	50.00	1.11	1447680.00
A01d	1.00	5.00	593.00	7415511.51	0.50	3707755.76	581.27	583.83	50.00	MaxEntropy	50.00	2.27	1447680.00
A01d	1.00	6.00	742.00	19124480.22	0.50	9562240.11	580.32	586.93	50.00	MaxEntropy	50.00	4.38	1447680.00
A01d	1.00	7.00	890.00	46289270.57	0.50	23144635.29	582.72	598.71	50.00	MaxEntropy	50.00	8.47	1447680.00
A01d	1.00	8.00	1038.00	98910761.27	0.50	49455380.64	583.15	617.31	50.00	MaxEntropy	50.00	14.35	1447680.00
A01d	1.00	9.00	1187.00	196199797.61	0.50	98099898.80	584.34	652.10	50.00	MaxEntropy	50.00	22.70	1447680.00
A01d	1.00	10.00	1336.00	383069296.43	0.50	191534648.22	588.30	720.60	50.00	MaxEntropy	50.00	37.09	1447680.00
A01d	1.00	11.00	1484.00	860675846.64	0.50	430337923.32	582.66	879.93	50.00	MaxEntropy	50.00	58.42	1447680.00
A01d	1.00	12.00	1633.00	1547676256.64	0.50	773838128.32	582.66	1117.20	50.00	MaxEntropy	50.00	74.80	1447680.00
A01d	1.00	13.00	1782.00	2102363766.64	0.50	1051181883.32	582.66	1308.78	50.00	MaxEntropy	50.00	82.02	1447680.00
A01d	1.00	14.00	1930.00	2616545862.64	0.50	1308272931.32	582.66	1486.37	50.00	MaxEntropy	50.00	85.47	1447680.00
A01d	1.00	15.00	2079.00	3077406904.64	0.50	1538703452.32	582.66	1645.54	50.00	MaxEntropy	50.00	89.19	1447680.00
A01d	1.00	16.00	2228.00	3470623806.64	0.50	1735311903.32	582.66	1781.35	50.00	MaxEntropy	50.00	91.61	1447680.00
A02a	1.00	1.00	0.00	2526479.59	0.50	1263239.80	467.57	468.45	50.00	MaxEntropy	50.00	0.58	1447680.00
A02a	1.00	2.00	148.00	3841491.94	0.50	1920745.97	467.56	468.89	50.00	MaxEntropy	50.00	0.83	1447680.00
A02a	1.00	3.00	296.00	7159761.54	0.50	3579880.77	465.91	468.38	50.00	MaxEntropy	50.00	1.36	1447680.00
A02a	1.00	4.00	445.00	16769245.89	0.50	8384622.95	465.62	471.41	50.00	MaxEntropy	50.00	2.50	1447680.00
A02a	1.00	5.00	593.00	43523338.21	0.50	21761669.11	466.36	481.39	50.00	MaxEntropy	50.00	4.71	1447680.00
A02a	1.00	6.00	742.00	111737939.08	0.50	55868969.54	467.80	506.39	50.00	MaxEntropy	50.00	8.94	1447680.00
A02a	1.00	7.00	890.00	274524538.82	0.50	137262269.41	474.26	569.07	50.00	MaxEntropy	50.00	16.14	1447680.00
A02a	1.00	8.00	1038.00	605460766.42	0.50	302730383.21	482.09	691.20	50.00	MaxEntropy	50.00	27.26	1447680.00
A02a	1.00	9.00	1187.00	1215954819.38	0.50	607977409.69	494.50	914.47	50.00	MaxEntropy	50.00	43.50	1447680.00
A02a	1.00	10.00	1336.00	2553738548.32	0.50	1276869274.16	472.41	1354.42	50.00	MaxEntropy	50.00	62.48	1447680.00
A02a	1.00	11.00	1485.00	5271229420.32	0.50	2635614710.16	472.41	2292.99	50.00	MaxEntropy	50.00	100.00	1447680.00
A02a	1.00	12.00	1633.00	8344291681.61	0.49	4090338405.16	472.41	3297.85	50.00	MaxEntropy	50.00	100.00	1447680.00
A02a	1.00	13.00	1782.00	10638359606.10	0.37	3982044384.16	472.41	3223.05	50.00	MaxEntropy	50.00	100.00	1447680.00
A02a	1.00	14.00	1931.00	12504660442.39	0.36	4529338068.16	472.41	3601.09	50.00	MaxEntropy	50.00	100.00	1447680.00
A02a	1.00	15.00	2079.00	13703968947.45	0.31	4188453661.16	472.41	3365.62	50.00	MaxEntropy	50.00	100.00	1447680.00
A02a	1.00	16.00	2228.00	14484061236.36	0.31	4426879508.16	472.41	3530.32	50.00	MaxEntropy	50.00	100.00	1447680.00
A02b	1.00	1.00	0.00	2058002.63	0.50	1029001.31	469.37	470.09	50.00	MaxEntropy	50.00	0.72	1447680.00
A02b	1.00	2.00	148.00	3828496.25	0.50	1914248.13	469.60	470.93	50.00	MaxEntropy	50.00	1.03	1447680.00
A02b	1.00	3.00	297.00	7895821.16	0.50	3947910.58	468.46	471.19	50.00	MaxEntropy	50.00	1.62	1447680.00
A02b	1.00	4.00	445.00	19308892.67	0.50	9654446.34	467.76	474.42	50.00	MaxEntropy	50.00	2.79	1447680.00
A02b	1.00	5.00	593.00	49804781.42	0.50	24902390.71	467.98	485.18	50.00	MaxEntropy	50.00	5.00	1447680.00
A02b	1.00	6.00	742.00	127048886.74	0.50	63524443.37	469.04	512.92	50.00	MaxEntropy	50.00	9.76	1447680.00
A02b	1.00	7.00	891.00	306976677.79	0.50	153488338.89	474.37	580.40	50.00	MaxEntropy	50.00	17.22	1447680.00
A02b	1.00	8.00	1039.00	670566643.50	0.50	335283321.75	480.57	712.17	50.00	MaxEntropy	50.00	27.49	1447680.00
A02b	1.00	9.00	1187.00	1356044415.74	0.50	678022207.87	491.10	959.45	50.00	MaxEntropy	50.00	44.12	1447680.00
